,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
u1989,5.0,,,,4.0,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
u199,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,,4.0,,4.0,3.0,5.0,5.0,,,5.0,4.0,,3.0,,5.0,,5.0,3.0,,3.0,,4.0,4.0,3.0,4.0,,5.0,,,,4.0,,,,4.0,5.0,,,,5.0,,3.0,4.0,4.0,,3.0,,,5.0,,1.0,,3.0,,3.0,3.0,,,,4.0,5.0,2.0,,4.0,,,3.0,4.0,3.0,,4.0,,4.0,,2.0,3.0,3.0,4.0,,,4.0,,3.0,4.0,,,3.0,,4.0
u1990,,,3.0,,,,,,,5.0,,,,,5.0,,,,,,,3.0,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
u1991,5.0,,,,,5.0,5.0,,,4.0,,,5.0,,,4.0,,5.0,5.0,,,,,5.0,,,,5.0,,4.0,,,3.0,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1992,5.0,,,,,,,,3.0,,2.0,,,,,4.0,,,,4.0,,,4.0,,,5.0,3.0,,,3.0,,,,4.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,3.0,3.0,,,,,,,,,2.0,,,,,,4.0,,,,4.0,4.0,,3.0,3.0,,,4.0,,,,
u1993,,,5.0,,,,,,,,,4.0,,,,4.0,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,3.0,,,,,,,,,,,
u1994,5.0,,4.0,,,5.0,5.0,,,,,,5.0,,3.0,,,5.0,,5.0,,,2.0,,,,,,,,,3.0,3.0,,,,,,5.0,,,,,,,,,,,,3.0,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1995,,,,4.0,5.0,4.0,4.0,,5.0,,5.0,,,,,,,4.0,,2.0,5.0,4.0,,,,5.0,4.0,,,5.0,,2.0,,,,,,5.0,,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,3.0,4.0,,2.0,,,,,,,,,,,,4.0,,,,,,3.0,5.0,,4.0,,,,5.0,,,,
u1996,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,4.0,,5.0,5.0,,4.0,,5.0,5.0,5.0,3.0,4.0,5.0,,5.0,,5.0,,4.0,3.0,,4.0,5.0,5.0,,4.0,,,4.0,,5.0,,,4.0,4.0,5.0,5.0,5.0,4.0,,,5.0,4.0,,,,5.0,,,,,,5.0,4.0,5.0,,5.0,,5.0,5.0,5.0,,3.0,3.0,,,4.0,,4.0,,,,4.0,,,,4.0,,4.0
u1997,,,,,,,,,,,,4.0,,,,4.0,4.0,,,4.0,,3.0,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,5.0,,,,3.0,,,,,,
u1998,5.0,5.0,,4.0,,4.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,,4.0,5.0,,4.0,5.0,4.0,5.0,4.0,,,5.0,,,,4.0,,,,3.0,,5.0,4.0,,4.0,5.0,5.0,4.0,,4.0,4.0,3.0,5.0,3.0,3.0,4.0,,,,5.0,5.0,4.0,,4.0,2.0,,,4.0,,,,3.0,4.0,,,4.0,,4.0,,,,,4.0,,,3.0,,5.0,,,,,4.0,,,5.0,3.0,4.0,4.0,3.0,5.0,
u1999,,4.0,4.0,,4.0,,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,,,,5.0,,,4.0,,2.0,4.0,,,5.0,,3.0,3.0,,4.0,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,
u2,4.0,,5.0,4.0,5.0,4.0,4.0,4.0,,5.0,,4.0,,,5.0,4.0,,,,3.0,,3.0,,5.0,,5.0,,,,,,3.0,4.0,5.0,,,,5.0,,,,3.0,,5.0,,,,,,,,,2.0,5.0,,,,,,,,,2.0,4.0,,,,,,,,,5.0,5.0,,,,,5.0,,,4.0,,5.0,,5.0,,4.0,,,,,,1.0,,,,,,
u20,4.0,,,,,4.0,4.0,5.0,,,,,,,5.0,,,,5.0,,,,,,,,,,4.0,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,
u200,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,4.0,,,,,,,,
u2000,5.0,4.0,4.0,4.0,3.0,5.0,,4.0,,4.0,2.0,4.0,,4.0,5.0,3.0,,5.0,4.0,,,,4.0,5.0,,,,,,4.0,,,,4.0,,,3.0,5.0,4.0,4.0,3.0,,,5.0,,,3.0,4.0,,,,,,,,,,5.0,,,4.0,4.0,,,4.0,,4.0,,,,4.0,,,,,,2.0,,4.0,3.0,,,,3.0,2.0,,,,,5.0,,3.0,,,,5.0,,,,
u2001,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,3.0,4.0,,,,,,4.0,,,,,,,,
u2002,1.0,4.0,,3.0,,,,,,,5.0,,,,4.0,2.0,,,4.0,4.0,,,,,,4.0,,4.0,,4.0,,,,,,3.0,5.0,5.0,4.0,,,,,,,5.0,,,,,,,4.0,,,,,,,5.0,,,,,,,,,3.0,3.0,4.0,,,,,,,,5.0,,5.0,,,,,,,,,3.0,,,3.0,,,,,,,
u2003,,,,5.0,,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2004,,5.0,5.0,5.0,2.0,,,,5.0,,5.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,5.0,4.0,,,4.0,,,,,5.0,,,,
u2005,5.0,,,5.0,,,,,,,,,,4.0,,4.0,,,,,,,5.0,,,,2.0,,,,,,,4.0,,,4.0,,,,,,,,1.0,,2.0,4.0,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,5.0,,,,,2.0,,,,,,5.0,,3.0,,,,,,,3.0,,,,,,,,
u2006,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
u2007,4.0,5.0,4.0,3.0,,5.0,,3.0,2.0,,,5.0,,,,,,,,,4.0,,,,5.0,,,,,,5.0,,,,,4.0,,,,,,,,5.0,,5.0,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,
u2008,5.0,3.0,2.0,,,5.0,5.0,,2.0,5.0,,4.0,5.0,3.0,,3.0,3.0,5.0,5.0,5.0,,1.0,4.0,5.0,5.0,,,5.0,5.0,,4.0,,4.0,,,,3.0,,5.0,,5.0,,,5.0,,5.0,,,5.0,5.0,,4.0,5.0,,,,,5.0,,4.0,,,4.0,,3.0,,,,,,,5.0,2.0,,,5.0,,3.0,,3.0,5.0,3.0,5.0,,,,,1.0,4.0,,5.0,,,5.0,,4.0,,,4.0,
u2009,5.0,,,,,4.0,,4.0,,5.0,,,5.0,5.0,,4.0,,5.0,,,,,5.0,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,4.0,,,,,,,3.0,5.0,,,,,,,,,,
u201,5.0,,,,,3.0,,,,,,,4.0,,4.0,5.0,4.0,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,4.0,3.0,,,,,,,3.0,,,,,,,,,5.0,,,,,,,,,,4.0,5.0,,,3.0,,,,,,,
u2010,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,,,2.0,3.0,5.0,,5.0,4.0,,,5.0,,,4.0,4.0,3.0,,3.0,4.0,,,4.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,,3.0,3.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,,,4.0,4.0,3.0,,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,,3.0,,4.0,4.0
u2011,1.0,,3.0,3.0,5.0,3.0,,4.0,5.0,4.0,4.0,5.0,,5.0,1.0,4.0,5.0,,,4.0,,,3.0,5.0,,4.0,5.0,,,4.0,,,5.0,,,,,,5.0,5.0,3.0,4.0,4.0,,,,5.0,4.0,,,,5.0,,4.0,5.0,5.0,4.0,4.0,5.0,5.0,,,,5.0,1.0,,1.0,,5.0,5.0,,,,,,,1.0,,5.0,4.0,,,,5.0,,4.0,,5.0,,3.0,,1.0,5.0,4.0,4.0,1.0,5.0,4.0,,5.0
u2012,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,4.0,,3.0,5.0,,,3.0,,5.0,,,4.0,4.0,5.0,,,,4.0,5.0,,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,,,4.0,3.0,2.0,,5.0,4.0,4.0,,4.0,,,4.0,,5.0,3.0,4.0,3.0,4.0,3.0,,,,3.0,3.0,,,3.0,3.0,3.0,5.0,3.0,,4.0,3.0,5.0,3.0,3.0,4.0,,,,3.0,4.0,3.0,,,4.0,3.0,,1.0,4.0,3.0,3.0,,,4.0,4.0,5.0,5.0,2.0
u2013,,5.0,,,3.0,,5.0,5.0,5.0,,5.0,,,,,,,,,,5.0,5.0,,,,,,,5.0,,4.0,5.0,,,5.0,4.0,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,3.0,,,,,,,3.0,4.0,,,5.0,3.0,,,,,,,,
u2014,5.0,5.0,5.0,5.0,,,5.0,4.0,5.0,,,4.0,,,,,4.0,,5.0,3.0,4.0,,,,4.0,,,,4.0,,,,,,,4.0,4.0,4.0,,2.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,
u2015,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,,5.0,3.0,5.0,3.0,2.0,3.0,4.0,,5.0,4.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,3.0,,1.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,,4.0,4.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0
u2016,4.0,5.0,5.0,5.0,5.0,,5.0,3.0,4.0,,5.0,5.0,,,4.0,,5.0,,,,,5.0,3.0,,4.0,,,,4.0,5.0,4.0,3.0,,5.0,4.0,,5.0,,,5.0,,5.0,,,5.0,5.0,,4.0,,,4.0,,,4.0,5.0,5.0,4.0,,,4.0,,,3.0,4.0,,,2.0,5.0,4.0,,,,5.0,,4.0,,4.0,5.0,,5.0,4.0,4.0,,5.0,,5.0,,4.0,,,,,4.0,5.0,,4.0,4.0,5.0,,5.0
u2017,,,,5.0,4.0,5.0,4.0,5.0,,5.0,,,5.0,5.0,,,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,,4.0,,,,4.0,5.0,,,,,,5.0,5.0,,5.0,,,,,,,,,,,,5.0,4.0,,,,,,5.0,,,5.0,,,,,,,3.0,,,4.0,,,,,,3.0,,4.0,,5.0,,,,,,,,,,5.0,4.0,,,,,4.0
u2018,3.0,5.0,5.0,4.0,,4.0,,,3.0,4.0,,5.0,5.0,5.0,,,,5.0,,4.0,4.0,,,5.0,5.0,5.0,,,,,5.0,,,,,3.0,4.0,4.0,5.0,4.0,4.0,,,5.0,5.0,5.0,,,4.0,5.0,5.0,,4.0,,,4.0,4.0,4.0,,,,5.0,,4.0,,,,3.0,4.0,,3.0,,5.0,4.0,,,,4.0,4.0,,3.0,4.0,,4.0,,4.0,3.0,3.0,,,5.0,,4.0,,,4.0,,,1.0,
u2019,5.0,,,1.0,,,,,,,,,,,3.0,5.0,,,,,,,5.0,,,,4.0,,,,,,,4.0,,,2.0,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u202,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,5.0,5.0,,,5.0,4.0,4.0,5.0,,3.0,,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,,4.0,,5.0,,4.0,5.0,,4.0,3.0,,,5.0,4.0,,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,,,4.0,5.0,,4.0,4.0,4.0,,4.0,3.0,3.0,5.0,,3.0,,,3.0,3.0,4.0,5.0,,3.0,2.0,5.0,4.0
u2020,4.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,5.0,4.0,4.0,3.0,2.0,4.0,4.0,,,4.0,2.0,4.0,3.0,2.0,,,5.0,4.0,2.0,,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,,5.0,3.0,2.0,4.0,,,4.0,4.0,4.0,4.0,,,3.0,,3.0,2.0,5.0,3.0
u2021,,5.0,,,5.0,3.0,5.0,5.0,,,5.0,5.0,,,5.0,,,,,,,5.0,,,,,4.0,,,,4.0,5.0,4.0,,,,,,,,,5.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,5.0,,,,3.0,,1.0,,,,,,5.0
u2022,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,,4.0,3.0,5.0,,5.0,,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,,5.0,,,4.0,,,3.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,,,,5.0,5.0,,4.0,4.0,4.0,,,,5.0,,4.0,5.0,,,,3.0,,4.0,4.0,1.0,,4.0,4.0,4.0,,5.0,4.0,3.0,5.0,5.0,4.0,2.0,,5.0,5.0,3.0,,,5.0
u2023,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,,,4.0,4.0,,2.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,3.0,,,,4.0,5.0,,5.0,5.0,5.0,5.0,4.0,,4.0,5.0,,5.0,,5.0,,5.0,4.0,3.0,3.0,5.0,5.0,,5.0,2.0,,,,,4.0,4.0,5.0,,,5.0,,4.0,,,4.0,5.0,5.0,5.0,,4.0,2.0,2.0,4.0,5.0,,4.0,
u2024,4.0,,,,,,,,,,,,,,,,1.0,,4.0,,,,1.0,,,5.0,5.0,,,,,,,,,,,5.0,,5.0,3.0,,,,,,,,,,,,,,,,,,5.0,4.0,,,5.0,,,,,,5.0,5.0,,,,,,4.0,4.0,,,,5.0,,3.0,5.0,4.0,,,,2.0,4.0,,,4.0,,,,5.0,,4.0,
u2025,3.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,,5.0,5.0,,4.0,4.0,5.0,,,5.0,2.0,,,4.0,,5.0,5.0,5.0,,4.0,,,,4.0,5.0,,,,,,4.0,,,5.0,,,,4.0,4.0,,,,,,4.0,4.0,4.0,5.0,,,,,,5.0,,4.0,,,,,,,,,,5.0,5.0,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,3.0
u2026,,5.0,,4.0,2.0,,3.0,,4.0,,4.0,,,,,,,,4.0,,5.0,,,,4.0,,,,4.0,,4.0,3.0,,,4.0,3.0,,,,,,,,,5.0,3.0,,,,4.0,5.0,,,,,,,,,,,,,3.0,,,,,,,,,4.0,3.0,5.0,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,
u2027,5.0,4.0,4.0,,,3.0,,4.0,4.0,5.0,,4.0,,5.0,,5.0,3.0,5.0,4.0,4.0,,4.0,4.0,5.0,,4.0,4.0,5.0,,5.0,,,,,3.0,3.0,,5.0,4.0,,,,,,,,,,,,,,4.0,,,,,,4.0,5.0,5.0,4.0,4.0,,,,,,,4.0,,4.0,,4.0,,4.0,,,4.0,,,,4.0,,5.0,5.0,,,4.0,5.0,,,,,4.0,,,,,
u2028,4.0,,,,3.0,,4.0,,,,3.0,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2029,5.0,,,,1.0,,,,3.0,,3.0,,,,,4.0,5.0,,,5.0,,,5.0,,,4.0,3.0,,,5.0,,,,,,,3.0,3.0,,2.0,5.0,,5.0,,,,,3.0,,,3.0,,,,,,,5.0,5.0,5.0,,,4.0,,5.0,,,4.0,3.0,4.0,,,,,,4.0,,,2.0,,,,5.0,3.0,2.0,,,,4.0,3.0,,,3.0,,,5.0,3.0,2.0,4.0,
u203,,,,,,4.0,,,1.0,4.0,,,,,3.0,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,4.0,,,,,,5.0,,2.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,3.0,,,,,
u2030,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,,5.0,,5.0,5.0,4.0,4.0,3.0,4.0,,,5.0,5.0,4.0,3.0,5.0,4.0,,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,,,3.0,3.0,5.0,5.0,3.0,,,,,4.0,5.0,,3.0,3.0,,,,5.0,4.0,3.0,5.0,,4.0,,2.0,4.0,,,,,5.0,4.0,,,,5.0,2.0,,,,3.0,4.0,,2.0,
u2031,5.0,5.0,,,3.0,,4.0,5.0,,,3.0,,,,3.0,4.0,,,,4.0,3.0,3.0,5.0,,,,4.0,,,,,2.0,,3.0,,5.0,,3.0,,4.0,4.0,,3.0,,,,3.0,,,,5.0,,5.0,,,,,,,,,,,,5.0,3.0,3.0,,,,3.0,4.0,,,,,,,,1.0,,,,,3.0,5.0,2.0,4.0,5.0,3.0,,2.0,4.0,4.0,,,,,,
u2032,,3.0,,,,,4.0,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,
u2033,1.0,,,,,,,,,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,
u2034,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,
u2035,5.0,5.0,5.0,3.0,5.0,,4.0,5.0,5.0,3.0,4.0,3.0,5.0,,,,3.0,,,4.0,5.0,3.0,4.0,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,5.0,,,4.0,4.0,2.0,3.0,,5.0,,,,,,,,,,,2.0,,,5.0,,,2.0,,,,,4.0,4.0,,,2.0,,3.0,2.0,,4.0,,2.0,3.0,3.0,,,4.0,4.0,,,,,,4.0,,,,4.0,,5.0,4.0,4.0,2.0,
u2036,,,,,,,,,,,3.0,,,,,,5.0,,4.0,3.0,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,4.0,,,4.0,4.0,,,,,4.0,
u2037,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2038,5.0,5.0,,4.0,3.0,,,,4.0,4.0,4.0,4.0,5.0,,,4.0,4.0,5.0,5.0,4.0,4.0,,5.0,,5.0,5.0,3.0,5.0,3.0,,4.0,4.0,4.0,4.0,,4.0,5.0,3.0,5.0,,5.0,,,5.0,5.0,3.0,4.0,,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,,,4.0,4.0,3.0,,,,,,4.0,4.0,,,,,,,4.0,3.0,,4.0,4.0,4.0,4.0,,4.0,,,,,,,5.0,3.0,4.0,5.0,,,,4.0,3.0,
u2039,2.0,4.0,,,4.0,,,,4.0,5.0,3.0,,,5.0,4.0,,,5.0,3.0,,,,,4.0,5.0,,,,,,3.0,,,,,4.0,,,,,,4.0,,5.0,4.0,,,,4.0,5.0,4.0,4.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,4.0,,,,4.0,,,,,4.0,,,,
u204,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,,5.0,5.0,,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,,5.0,4.0,5.0,4.0,4.0,5.0,5.0,,3.0,5.0,4.0,3.0,4.0,5.0,3.0,,5.0,4.0,4.0,4.0,,5.0,,5.0,,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,,5.0,4.0,,4.0,,4.0,4.0,4.0,5.0,3.0,,3.0,,5.0,5.0,,,,4.0,4.0,3.0,4.0,5.0,,4.0,4.0,4.0,4.0
u2040,5.0,,,,,,,,,,,,,5.0,,1.0,,,1.0,4.0,,,,,,4.0,3.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,2.0,,,,2.0,,1.0,,,,4.0,,,,,,,,,,,
u2041,4.0,4.0,5.0,4.0,4.0,3.0,,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,,4.0,4.0,,5.0,3.0,,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,,5.0,3.0,3.0,1.0,3.0,,5.0,4.0,4.0,3.0,3.0,4.0
u2042,,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,4.0,5.0,4.0,4.0,,,4.0,4.0,,4.0,3.0,3.0,,,5.0,4.0,2.0,,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,4.0,,,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,,,,4.0,2.0,5.0,,,,,,,,5.0,4.0,4.0,3.0,5.0,,,4.0,,4.0,4.0,,4.0,2.0,,4.0,,,4.0,,4.0,2.0,2.0,,,5.0,3.0,,,,,3.0,2.0,,
u2043,3.0,,,,,,,,,,,,,4.0,,4.0,,,,,,,3.0,,,,3.0,,,,,,,3.0,,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,3.0,,,,,5.0,,,,,,5.0,,4.0,,,,1.0,,,3.0,,,,,,,,
u2044,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,,,
u2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2046,4.0,,,,3.0,3.0,3.0,,4.0,4.0,3.0,,,,3.0,,3.0,5.0,,5.0,,3.0,4.0,5.0,,,,2.0,,4.0,,,,,,,,3.0,,3.0,5.0,,4.0,4.0,,,,,,,,,,,,,,4.0,5.0,5.0,,,3.0,,2.0,,,,4.0,3.0,,4.0,,,,2.0,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,
